10000,0.0000213110,0.0006805666
20000,0.0000362797,0.0012595976
30000,0.0000528052,0.0019162081
40000,0.0000732009,0.0028651286
50000,0.0000948575,0.0040056384
60000,0.0001261962,0.0051365053
70000,0.0001485177,0.0060878943
80000,0.0001839433,0.0072325850
90000,0.0001922485,0.0081280479
100000,0.0002163859,0.0091438224
